Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,Straight Party
Addison 1,510,123,10,0,2,1,5,651,1
Addison 2,549,139,5,3,5,0,3,704,1
Addison 3,327,110,4,0,2,0,1,444,1
Bloomfield 1,224,153,3,0,2,0,1,383,1
Bloomfield 2,171,142,2,0,1,0,0,316,1
Bloomfield 3,238,253,6,1,1,0,0,499,1
Bloomfield 4,270,226,2,0,4,0,1,503,1
Bloomfield 5,230,188,1,0,2,0,0,421,1
Bloomfield 6,349,151,4,1,0,0,0,505,1
Bloomfield 7,141,151,1,0,1,0,1,295,1
Bloomfield 8,658,189,0,0,0,0,0,847,1
Bloomfield 9,367,203,4,0,1,0,0,575,1
Bloomfield 10,297,339,1,1,3,0,0,641,1
Bloomfield 11,276,278,2,0,1,0,0,557,1
Bloomfield 12,258,272,4,0,2,0,2,538,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Bloomfield 13,292,167,4,0,1,0,0,464,1
Bloomfield 14,373,149,7,1,3,0,1,534,1
Bloomfield 15,177,137,3,0,0,0,0,317,1
Bloomfield 16,173,202,4,1,5,0,0,385,1
Bloomfield 17,92,133,3,0,0,0,1,229,1
Bloomfield 18,205,165,1,0,1,0,2,374,1
Bloomfield 19,313,175,3,0,1,0,1,493,1
Bloomfield 20,176,262,3,0,1,0,1,443,1
Bloomfield 21,310,147,2,0,2,0,1,462,1
Bloomfield 22,266,259,3,1,0,0,0,529,1
Bloomfield 23,286,100,1,0,1,0,0,388,1
Bloomfield 24,248,161,2,0,2,0,0,413,1
Bloomfield 25,70,193,4,0,2,0,1,270,1
Bloomfield 26,237,157,5,0,1,0,1,401,1
Bloomfield 27,110,208,3,0,1,0,0,322,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Bloomfield 28,178,59,0,0,0,0,0,237,1
Bloomfield 29,270,167,3,0,3,0,1,444,1
Bloomfield 30,296,287,3,0,1,0,0,587,1
Bloomfield 31,257,94,0,0,2,0,1,354,1
Bloomfield 32,244,259,0,0,1,0,1,505,1
Brandon 1,410,169,11,1,8,1,6,606,1
Brandon 2,535,190,8,2,7,0,4,746,1
Brandon 3,526,183,16,3,6,2,4,740,1
Brandon 4,642,222,16,1,9,0,7,897,1
Brandon 5,220,195,8,3,5,0,4,435,1
Brandon 6,158,96,4,3,6,0,4,271,1
Commerce 1,303,128,10,0,3,0,1,445,1
Commerce 2,394,244,9,0,7,0,4,658,1
Commerce 3,451,414,8,0,5,0,3,881,1
Commerce 4,401,229,7,2,7,0,8,654,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Commerce 5,486,237,10,1,2,0,4,740,1
Commerce 6,323,195,6,2,10,0,2,538,1
Commerce 7,481,156,9,0,6,0,1,653,1
Commerce 8,522,194,9,1,2,0,3,731,1
Commerce 9,504,229,7,1,7,1,4,753,1
Commerce 10,401,246,8,2,8,0,8,673,1
Commerce 11,504,365,4,0,4,0,3,880,1
Commerce 12,240,143,8,2,4,0,2,399,1
Commerce 13,381,246,11,0,4,0,5,647,1
Commerce 14,267,188,12,2,6,0,10,485,1
Commerce 15,354,200,4,1,2,1,0,562,1
Groveland 1,419,115,5,4,5,0,5,553,1
Groveland 2,337,125,7,2,5,0,9,485,1
Groveland 3,338,91,4,0,4,0,0,437,1
Highland 1,669,192,15,5,5,1,3,890,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Highland 2,446,158,8,1,2,2,8,625,1
Highland 3,263,114,7,0,3,1,8,396,1
Highland 4,473,201,12,1,4,0,5,696,1
Highland 5,328,107,8,1,1,0,4,449,1
Highland 6,445,161,8,1,3,1,7,626,1
Highland 7,304,92,17,1,2,0,6,422,1
Highland 8,304,125,11,1,2,1,3,447,1
Holly 1,357,287,17,2,8,0,10,681,1
Holly 2,332,228,22,3,11,0,7,603,1
Holly 3,425,219,9,1,4,0,6,664,1
Holly 4,485,289,8,0,3,0,4,789,1
Independence 1,650,236,13,0,2,0,3,904,1
Independence 2,472,181,8,0,2,0,3,666,1
Independence 3,541,171,7,0,2,0,3,724,1
Independence 4,549,181,7,1,4,0,1,743,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Independence 5,614,228,7,1,1,0,7,858,1
Independence 6,477,234,12,4,2,2,2,733,1
Independence 7,521,316,13,1,4,0,3,858,1
Independence 8,428,146,5,0,2,1,2,584,1
Independence 9,594,176,7,0,8,0,4,789,1
